date,new_daily_cases,new_daily_deaths,total_cases,total_recoveries,total_deaths,country,code
2020-02-26,1,0,1,0,0,Brazil,BR
2020-02-27,0,0,1,0,0,Brazil,BR
2020-02-28,0,0,1,0,0,Brazil,BR
2020-02-29,1,0,2,0,0,Brazil,BR
2020-03-01,0,0,2,0,0,Brazil,BR
2020-03-02,0,0,2,0,0,Brazil,BR
2020-03-03,0,0,2,0,0,Brazil,BR
2020-03-04,2,0,4,0,0,Brazil,BR
2020-03-05,0,0,4,0,0,Brazil,BR
2020-03-06,9,0,13,0,0,Brazil,BR
2020-03-07,0,0,13,0,0,Brazil,BR
2020-03-08,7,0,20,0,0,Brazil,BR
2020-03-09,5,0,25,0,0,Brazil,BR
2020-03-10,6,0,31,0,0,Brazil,BR
2020-03-11,7,0,38,0,0,Brazil,BR
2020-03-12,14,0,52,0,0,Brazil,BR
2020-03-13,99,0,151,0,0,Brazil,BR
2020-03-14,0,0,151,0,0,Brazil,BR
2020-03-15,11,0,162,0,0,Brazil,BR
2020-03-16,38,0,200,1,0,Brazil,BR
2020-03-17,121,1,321,2,1,Brazil,BR
2020-03-18,51,2,372,2,3,Brazil,BR
2020-03-19,249,3,621,2,6,Brazil,BR
2020-03-20,172,5,793,2,11,Brazil,BR
2020-03-21,228,4,1021,2,15,Brazil,BR
2020-03-22,525,10,1546,2,25,Brazil,BR
2020-03-23,378,9,1924,2,34,Brazil,BR
2020-03-24,323,12,2247,2,46,Brazil,BR
2020-03-25,307,13,2554,2,59,Brazil,BR
2020-03-26,431,18,2985,6,77,Brazil,BR
2020-03-27,432,15,3417,6,92,Brazil,BR
2020-03-28,487,19,3904,6,111,Brazil,BR
2020-03-29,352,25,4256,6,136,Brazil,BR
2020-03-30,323,23,4579,120,159,Brazil,BR
2020-03-31,1138,42,5717,127,201,Brazil,BR
2020-04-01,1119,39,6836,127,240,Brazil,BR
2020-04-02,1230,87,8066,2,327,Brazil,BR
2020-04-03,990,32,9056,2,359,Brazil,BR
2020-04-04,1222,72,10278,2,431,Brazil,BR
2020-04-05,852,55,11130,2,486,Brazil,BR
2020-04-06,1031,78,12161,2,564,Brazil,BR
2020-04-07,1873,122,14034,2,686,Brazil,BR
2020-04-08,2136,133,16170,2,819,Brazil,BR
2020-04-09,1922,131,18092,2,950,Brazil,BR
2020-04-10,1546,107,19638,2,1057,Brazil,BR
2020-04-11,1089,67,20727,2,1124,Brazil,BR
2020-04-12,1465,99,22192,2,1223,Brazil,BR
2020-04-13,1238,105,23430,2,1328,Brazil,BR
2020-04-14,1490,161,24920,2,1489,Brazil,BR
2020-04-15,3400,247,28320,2,1736,Brazil,BR
2020-04-16,2105,188,30425,2,1924,Brazil,BR
2020-04-17,3257,217,33682,2,2141,Brazil,BR
2020-04-18,2976,213,36658,2,2354,Brazil,BR
2020-04-19,1996,108,38654,2,2462,Brazil,BR
2020-04-20,1927,113,40581,2,2575,Brazil,BR
2020-04-21,2498,166,43079,2,2741,Brazil,BR
2020-04-22,2678,165,45757,2,2906,Brazil,BR
2020-04-23,3735,407,49492,2,3313,Brazil,BR
2020-04-24,3503,357,52995,2,3670,Brazil,BR
2020-04-25,5621,346,58616,2,4016,Brazil,BR
2020-04-26,3272,189,61888,2,4205,Brazil,BR
2020-04-27,4613,338,66501,2,4543,Brazil,BR
2020-04-28,5385,474,71886,2,5017,Brazil,BR
2020-04-29,7332,490,79218,2,5507,Brazil,BR
2020-04-30,6162,394,85380,2,5901,Brazil,BR
2020-05-01,6729,509,92109,2,6410,Brazil,BR
2020-05-02,4450,340,96559,2,6750,Brazil,BR
2020-05-03,4588,275,101147,2,7025,Brazil,BR
2020-05-04,6697,303,107844,2,7328,Brazil,BR
2020-05-05,6871,593,114715,2,7921,Brazil,BR
2020-05-06,10503,615,125218,2,8536,Brazil,BR
2020-05-07,7149,518,132367,2,9054,Brazil,BR
2020-05-08,12961,843,145328,2,9897,Brazil,BR
2020-05-09,10611,730,155939,2,10627,Brazil,BR
2020-05-10,6760,496,162699,2,11123,Brazil,BR
2020-05-11,5632,396,168331,2,11519,Brazil,BR
2020-05-12,9258,881,177589,2,12400,Brazil,BR
2020-05-13,11568,749,189157,2,13149,Brazil,BR
2020-05-14,13761,844,202918,2,13993,Brazil,BR
2020-05-15,15305,824,218223,2,14817,Brazil,BR
2020-05-16,14919,816,233142,2,15633,Brazil,BR
2020-05-17,7938,485,241080,2,16118,Brazil,BR
2020-05-18,13140,674,254220,2,16792,Brazil,BR
2020-05-19,17408,1179,271628,2,17971,Brazil,BR
2020-05-20,0,0,271628,0,17971,Brazil,BR
2020-05-21,19951,888,291579,0,18859,Brazil,BR
2020-05-22,39311,2189,330890,0,21048,Brazil,BR
2020-05-23,0,0,330890,0,21048,Brazil,BR
2020-05-24,16508,965,347398,0,22013,Brazil,BR
2020-05-25,15813,653,363211,0,22666,Brazil,BR
2020-05-26,28011,1846,391222,0,24512,Brazil,BR
2020-05-27,20599,1086,411821,0,25598,Brazil,BR
2020-05-28,0,0,411821,0,25598,Brazil,BR
2020-05-29,53345,2280,465166,0,27878,Brazil,BR
2020-05-30,33274,956,498440,0,28834,Brazil,BR
2020-05-31,0,0,498440,0,28834,Brazil,BR
2020-06-01,16409,480,514849,0,29314,Brazil,BR
2020-06-02,11598,623,526447,0,29937,Brazil,BR
2020-06-03,28936,1262,555383,0,31199,Brazil,BR
2020-06-04,28633,1349,584016,0,32548,Brazil,BR
2020-06-05,30925,1473,614941,0,34021,Brazil,BR
2020-06-06,30830,1005,645771,0,35026,Brazil,BR
2020-06-07,27075,904,672846,0,35930,Brazil,BR
2020-06-08,18912,525,691758,0,36455,Brazil,BR
2020-06-09,15654,679,707412,0,37134,Brazil,BR
2020-06-10,65004,2546,772416,0,39680,Brazil,BR
2020-06-11,30412,1239,802828,0,40919,Brazil,BR
2020-06-12,25982,909,828810,0,41828,Brazil,BR
2020-06-13,21704,892,850514,0,42720,Brazil,BR
2020-06-14,17110,612,867624,0,43332,Brazil,BR
2020-06-15,20647,627,888271,0,43959,Brazil,BR
2020-06-16,34918,1282,923189,0,45241,Brazil,BR
2020-06-17,32188,1269,955377,0,46510,Brazil,BR
2020-06-18,22765,1238,978142,0,47748,Brazil,BR
2020-06-19,54771,1206,1032913,0,48954,Brazil,BR
2020-06-20,0,1022,1032913,0,49976,Brazil,BR
2020-06-21,50428,615,1083341,0,50591,Brazil,BR
2020-06-22,21220,637,1104561,0,51228,Brazil,BR
2020-06-23,1909,43,1106470,0,51271,Brazil,BR
2020-06-24,82161,2559,1188631,0,53830,Brazil,BR
2020-06-25,39483,1141,1228114,0,54971,Brazil,BR
2020-06-26,46470,986,1274584,0,55957,Brazil,BR
2020-06-27,39083,1113,1313667,0,57070,Brazil,BR
2020-06-28,0,0,1313667,0,57070,Brazil,BR
2020-06-29,54528,1244,1368195,0,58314,Brazil,BR
2020-06-30,0,0,1368195,0,58314,Brazil,BR
2020-07-01,80558,2318,1448753,0,60632,Brazil,BR
2020-07-02,48105,1252,1496858,0,61884,Brazil,BR
2020-07-03,42223,0,1539081,0,61884,Brazil,BR
2020-07-04,0,1290,1539081,0,63174,Brazil,BR
2020-07-05,37923,1091,1577004,0,64265,Brazil,BR
2020-07-06,46280,1222,1623284,0,65487,Brazil,BR
2020-07-07,45305,1254,1668589,1089686,66741,Brazil,BR
2020-07-08,44571,1223,1713160,1089686,67964,Brazil,BR
2020-07-09,42619,1220,1755779,1089686,69184,Brazil,BR
2020-07-10,45048,1214,1800827,1089686,70398,Brazil,BR
2020-07-11,0,0,1800827,1089686,70398,Brazil,BR
2020-07-12,63854,1702,1864681,1089686,72100,Brazil,BR
2020-07-13,20286,733,1884967,1089686,72833,Brazil,BR
2020-07-14,41857,1300,1926824,1089686,74133,Brazil,BR
2020-07-15,39924,1233,1966748,1089686,75366,Brazil,BR
2020-07-16,45403,1322,2012151,1089686,76688,Brazil,BR
2020-07-17,0,0,2012151,1089686,76688,Brazil,BR
2020-07-18,62709,2084,2074860,1089686,78772,Brazil,BR
2020-07-19,23529,716,2098389,1089686,79488,Brazil,BR
2020-07-20,20257,632,2118646,1089686,80120,Brazil,BR
2020-07-21,0,0,2118646,1089686,80120,Brazil,BR
2020-07-22,41008,1367,2159654,1089686,81487,Brazil,BR
2020-07-23,127821,2595,2287475,1089686,84082,Brazil,BR
2020-07-24,0,0,2287475,1089686,84082,Brazil,BR
2020-07-25,55891,1156,2343366,1089686,85238,Brazil,BR
2020-07-26,51147,1211,2394513,1089686,86449,Brazil,BR
2020-07-27,24578,555,2419091,1089686,87004,Brazil,BR
2020-07-28,64100,1535,2483191,1089686,88539,Brazil,BR
2020-07-29,69074,1595,2552265,1089686,90134,Brazil,BR
2020-07-30,0,0,2552265,1089686,90134,Brazil,BR
2020-07-31,110220,2341,2662485,1089686,92475,Brazil,BR
2020-08-01,45392,1088,2707877,1089686,93563,Brazil,BR
2020-08-02,0,0,2707877,1089686,93563,Brazil,BR
2020-08-03,25800,541,2733677,1089686,94104,Brazil,BR
2020-08-04,68244,1715,2801921,1089686,95819,Brazil,BR
2020-08-05,57152,1437,2859073,1089686,97256,Brazil,BR
2020-08-06,53139,1237,2912212,1089686,98493,Brazil,BR
2020-08-07,50230,1079,2962442,1089686,99572,Brazil,BR
2020-08-08,0,0,2962442,1089686,99572,Brazil,BR
2020-08-09,72980,1477,3035422,1089686,101049,Brazil,BR
2020-08-10,0,0,3035422,1089686,101049,Brazil,BR
2020-08-11,22048,703,3057470,1089686,101752,Brazil,BR
2020-08-12,52160,1274,3109630,1089686,103026,Brazil,BR
2020-08-13,55155,1175,3164785,1089686,104201,Brazil,BR
2020-08-14,60091,1262,3224876,1089686,105463,Brazil,BR
2020-08-15,92220,1769,3317096,1089686,107232,Brazil,BR
2020-08-16,23101,620,3340197,1089686,107852,Brazil,BR
2020-08-17,19373,684,3359570,1089686,108536,Brazil,BR
2020-08-18,0,0,3359570,1089686,108536,Brazil,BR
2020-08-19,47784,1352,3407354,1089686,109888,Brazil,BR
2020-08-20,49298,1212,3456652,1089686,111100,Brazil,BR
2020-08-21,75678,2258,3532330,1089686,113358,Brazil,BR
2020-08-22,50032,892,3582362,1089686,114250,Brazil,BR
2020-08-23,0,0,3582362,1089686,114250,Brazil,BR
2020-08-24,40499,1059,3622861,1089686,115309,Brazil,BR
